date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,AQI_t+1,AQI_t+2,AQI_t+3,day,day_of_week,month,year,day_of_year,AQI_lag_1,AQI_lag_2,AQI_lag_3,AQI_lag_7,AQI_change_1d,AQI_change_3d,AQI_change_7d,AQI_rolling_mean_3,AQI_rolling_mean_7,PM2.5_rolling_mean_3,PM2.5_rolling_mean_7,PM10_rolling_mean_3,PM10_rolling_mean_7
2023-01-08,145.79166666666666,87.09583333333335,125.82916666666668,71.02083333333333,82.84166666666667,1645.7916666666667,104.625,19.195833333333333,39.208333333333336,0.0,180.2083333333333,180.41666666666663,158.54166666666666,8,6,1,2023,8,132.08333333333334,121.75,119.95833333333331,129.58333333333334,13.708333333333314,25.833333333333343,16.208333333333314,124.5972222222222,127.75595238095238,46.67083333333333,47.24285714285714,68.17083333333333,73.0577380952381
2023-01-09,180.2083333333333,87.19583333333333,128.42083333333332,81.35416666666667,80.425,1781.0833333333333,93.375,19.34583333333333,69.95833333333333,0.0,180.41666666666663,158.54166666666666,80.29166666666667,9,0,1,2023,9,145.79166666666666,132.08333333333334,121.75,119.41666666666669,34.41666666666666,58.458333333333314,60.79166666666663,133.20833333333334,130.07142857142858,61.16666666666666,54.19047619047619,88.85555555555557,81.09940476190476
2023-01-10,180.41666666666663,110.39166666666668,162.80416666666667,88.11666666666667,84.12916666666666,2022.9583333333333,79.41666666666667,19.825,72.70833333333333,0.0,158.54166666666666,80.29166666666667,82.29166666666667,10,1,1,2023,10,180.2083333333333,145.79166666666666,132.08333333333334,154.29166666666666,0.2083333333333143,48.333333333333286,26.12499999999997,152.69444444444443,138.75595238095235,74.825,58.07678571428572,109.11805555555554,85.31904761904762
2023-01-11,158.54166666666666,30.45,54.75,29.075,25.65,667.0833333333334,76.79166666666667,21.5125,77.16666666666667,0.0083333333333333,80.29166666666667,82.29166666666667,99.125,11,2,1,2023,11,180.41666666666663,180.2083333333333,145.79166666666666,117.20833333333331,-21.87499999999997,12.75,41.33333333333334,168.80555555555554,142.48809523809524,94.89444444444446,66.48809523809523,139.01805555555555,97.47916666666669
2023-01-12,80.29166666666667,24.604166666666668,77.04166666666667,17.108333333333334,18.67083333333333,348.0416666666667,68.5,18.054166666666667,28.58333333333333,0.0,82.29166666666667,99.125,93.83333333333331,12,3,1,2023,12,158.54166666666666,180.41666666666663,180.2083333333333,119.95833333333331,-78.24999999999999,-99.91666666666664,-39.66666666666664,173.05555555555554,148.3928571428571,76.0125,65.02083333333333,115.325,96.61666666666667
2023-01-13,82.29166666666667,33.55833333333333,62.78333333333333,30.291666666666668,28.53333333333333,615.6666666666666,81.54166666666667,15.1875,17.916666666666668,0.0,99.125,93.83333333333331,135.75,13,4,1,2023,13,80.29166666666667,158.54166666666666,180.41666666666663,121.75,2.0,-98.12499999999996,-39.45833333333333,139.74999999999997,142.72619047619045,55.14861111111111,62.30595238095238,98.19861111111112,98.51190476190476
2023-01-14,99.125,27.5875,46.44583333333333,32.75833333333333,23.48333333333333,589.8333333333334,68.83333333333333,15.329166666666666,28.83333333333333,0.0,93.83333333333331,135.75,158.16666666666666,14,5,1,2023,14,82.29166666666667,80.29166666666667,158.54166666666666,132.08333333333334,16.83333333333333,-59.41666666666666,-32.95833333333334,107.04166666666669,137.0892857142857,29.5375,60.49702380952381,64.85833333333333,97.8190476190476
2023-01-15,93.83333333333331,42.52916666666667,67.01666666666667,32.84166666666667,38.62916666666667,765.375,85.95833333333333,14.870833333333332,43.708333333333336,0.0,135.75,158.16666666666666,174.83333333333334,15,6,1,2023,15,99.125,82.29166666666667,80.29166666666667,145.79166666666666,-5.291666666666686,13.541666666666645,-51.95833333333334,87.23611111111113,132.38095238095235,28.58333333333333,57.269047619047626,62.09027777777777,94.01071428571429
2023-01-16,135.75,60.375,96.44166666666666,35.28333333333333,60.395833333333336,738.2916666666666,76.83333333333333,16.441666666666666,54.708333333333336,0.0,158.16666666666666,174.83333333333334,177.58333333333334,16,0,1,2023,16,93.83333333333331,99.125,82.29166666666667,180.2083333333333,41.916666666666686,53.45833333333333,-44.458333333333314,91.75,124.95833333333331,34.55833333333333,50.90238095238095,58.74861111111111,85.60892857142858
2023-01-17,158.16666666666666,79.125,117.58333333333331,47.27916666666667,59.92916666666667,1056.25,93.125,17.029166666666665,37.208333333333336,0.0,174.83333333333334,177.58333333333334,145.58333333333334,17,1,1,2023,17,135.75,93.83333333333331,99.125,180.41666666666663,22.416666666666657,59.04166666666666,-22.24999999999997,109.56944444444444,118.60714285714286,43.49722222222223,47.07083333333333,69.96805555555555,81.04047619047618
2023-01-18,174.83333333333334,101.02083333333331,147.65833333333333,78.41666666666667,57.2,1448.25,63.41666666666666,17.716666666666665,40.04166666666666,0.0,177.58333333333334,145.58333333333334,147.875,18,2,1,2023,18,158.16666666666666,135.75,93.83333333333331,158.54166666666666,16.666666666666686,81.00000000000003,16.291666666666686,129.25,115.42857142857142,60.67638888888889,42.60416666666666,93.68055555555554,74.58035714285714
2023-01-19,177.58333333333334,66.89999999999999,99.225,42.22916666666666,31.02083333333333,839.875,77.25,18.466666666666665,34.5,0.0,145.58333333333334,147.875,132.58333333333334,19,3,1,2023,19,174.83333333333334,158.16666666666666,135.75,80.29166666666667,2.75,41.83333333333334,97.29166666666669,156.25,117.7559523809524,80.1736111111111,52.68571428571429,120.56111111111107,87.85297619047618
